Invoice|Customer ID|InvoiceDate
493410|12346.0|2010-01-04 09:24:00
C493411|14590.0|2010-01-04 09:43:00
493412|12346.0|2010-01-04 09:53:00
493413||2010-01-04 09:54:00
493414|14590.0|2010-01-04 10:28:00
C493415|14590.0|2010-01-04 10:33:00
C493426|16550.0|20100104 10:41:00
493427|13287.0|2010-01-04 10:43:00
493428|16550.0|2010-01-04 11:15:00
C493430|14680.0|2010-01-04 11:43:00
C493431|17372.0|2010-01-04 11:46:00
493432|14680.0|2010-01-04 12:30:00
493433|14709.0|2010-01-04 12:51:00
493434|13798.0|2010-01-04 12:54:00
493435|13206.0|2010-01-04 12:57:00
493436|13694.0|2010-01-04 13:03:00
493437|13694.0|2010-01-04 13:10:00
493438|13694.0|2010-01-04 13:12:00
493439|13694.0|2010-01-04 13:25:00
C493440|12709.0|2010-01-04 13:30:00
C493441|14156.0|2010-01-04 13:35:00
493442|13821.0|2010-01-04 13:36:00
493443|14527.0|2010-01-04 13:39:00
493444|16792.0|2010-01-04 13:47:00
493446|17807.0|2010-01-04 14:00:00
C493445|16296.0|2010-01-04 14:00:00
493463|15581.0|2010-01-04 14:27:00
493467|13004.0|2010-01-04 14:29:00
493485||2010-01-04 14:48:00
C493488||2010-01-04 14:50:00
493487||2010-01-04 14:50:00
493494||2010-01-04 14:56:00
493508||2010-01-04 15:08:00
493510||2010-01-04 15:08:00
493509||2010-01-04 15:08:00
493513||2010-01-04 15:09:00
493511||2010-01-04 15:09:00
493512||2010-01-04 15:09:00
493514||2010-01-04 15:09:00
493516||2010-01-04 15:11:00
493517||2010-01-04 15:11:00
493515||2010-01-04 15:11:00
493518||2010-01-04 15:12:00
493519||2010-01-04 15:12:00
493521||2010-01-04 15:12:00
493520||2010-01-04 15:12:00
493522||20100104 15:13:00
493523||2010-01-04 15:13:00
493524||2010-01-04 15:13:00
493525||2010-01-04 15:13:00
493526||2010-01-04 15:14:00
493527||2010-01-04 15:15:00
493529||2010-01-04 15:16:00
493528||2010-01-04 15:16:00
493530||2010-01-04 15:16:00
493532||2010-01-04 15:17:00
493531||2010-01-04 15:17:00
493533||2010-01-04 15:18:00
493534||2010-01-04 15:19:00
C493535|17841.0|2010-01-04 15:25:00
